満	11
関	11
歌	10
約	10
錫	10
齊	10
基	10
替	10
及	10
踏	10
警	10
骸	10
岩	10
完	10
遂	10
陰	10
根	10
牢	10
里	10
覚	10
議	10
制	10
庭	10
牧	10
角	10
認	10
郊	10
兄	10
橋	10
複	10
昨	10
機	10
閉	10
密	10
修	10
鹿	10
派	10
囚	10
単	10
財	10
画	9
悩	9
計	9
休	9
十	9
点	9
避	9
適	9
標	9
声	9
罠	9
遊	9
整	9
働	9
走	9
職	9
封	9
凶	9
染	9
熟	9
幅	9
削	9
路	9
裏	9
念	9
傍	9
臓	9
悟	9
至	9
底	9
援	9
刃	9
抵	9
横	9
影	9
壇	9
西	9
索	9
貿	9
店	8
晩	8
匹	8
招	8
妖	8
室	8
余	8
般	8
百	8
格	8
虫	8
料	8
僅	8
詠	8
林	8
習	8
草	8
狂	8
喚	8
冶	8
務	8
猪	8
非	8
晴	8
処	8
侶	8
酬	8
特	8
義	8
束	8
覆	8
討	8
由	8
健	8
操	8
期	8
牛	8
猟	8
到	8
応	8
霧	8
遙	8
忍	8
屋	8
恵	8
折	8
造	8
察	8
害	8
愛	8
登	8
詩	8
南	7
掃	7
獄	7
功	7
転	7
千	7
貸	7
請	7
鎮	7
圧	7
沢	7
末	7
穏	7
静	7
統	7
背	7
怯	7
鈍	7
独	7
隣	7
視	7
等	7
細	7
題	7
伏	7
母	7
極	7
両	7
固	7
遭	7
骨	7
棒	7
抱	7
購	7
繰	7
秩	7
首	7
因	7
爬	7
史	7
総	7
厄	7
優	7
序	7
駆	7
却	7
肉	7
脈	7
驚	7
嬉	7
獰	7
冒	7
延	7
粉	7
砕	7
顔	7
四	7
白	7
許	7
偵	6
柱	6
羽	6
花	6
楽	6
杯	6
陸	6
歓	6
仙	6
称	6
組	6
狙	6
蓄	6
滝	6
昇	6
字	6
吹	6
普	6
否	6
丹	6
件	6
倍	6
申	6
頻	6
詳	6
境	6
承	6
波	6
労	6
座	6
善	6
憎	6
曲	6
致	6
叩	6
孫	6
換	6
淵	6
遥	6
穫	6
節	6
詰	6
帯	6
晒	6
宣	6
峡	6
富	6
台	6
盛	6
畜	6
哀	6
拒	6
瞬	6
潜	6
呈	6
麓	6
北	6
謁	6
脅	6
豪	6
留	6
露	6
距	6
惑	6
諸	6
衰	6
窮	6
泣	6
棍	6
舞	5
虎	5
纏	5
蛇	5
焦	5
線	5
揃	5
哲	5
預	5
創	5
策	5
各	5
訓	5
憑	5
港	5
厚	5
尋	5
盆	5
這	5
飢	5
此	5
企	5
賭	5
裕	5
杉	5
島	5
掛	5
豊	5
貌	5
貴	5
車	5
系	5
徳	5
朝	5
笛	5
就	5
屈	5
誓	5
納	5
翼	5
響	5
共	5
興	5
斬	5
崩	5
激	5
建	5
鋭	5
拾	5
授	5
叙	5
斧	5
案	5
溢	5
潔	5
臆	5
耳	5
棘	5
給	5
挫	5
炸	5
鉄	5
輝	5
幾	5
浜	5
劉	5
昫	5
漁	5
厳	5
含	5
為	5
恩	5
省	4
竪	4
迫	4
栄	4
居	4
玉	4
試	4
便	4
穢	4
呂	4
駄	4
傅	4
読	4
隙	4
補	4
疑	4
彫	4
販	4
肩	4
罪	4
犠	4
挑	4
幼	4
湿	4
提	4
詣	4
噛	4
褒	4
牲	4
均	4
笑	4
孔	4
損	4
仰	4
辛	4
徘	4
滞	4
逆	4
仇	4
服	4
互	4
胞	4
唯	4
徊	4
庶	4
嫁	4
闇	4
焉	4
枷	4
狭	4
祀	4
廟	4
硫	4
雨	4
筋	4
欠	4
讃	4
況	4
旗	4
盟	4
彷	4
占	4
徨	4
賊	4
崖	4
悔	4
毀	4
癒	4
鳥	4
韋	4
郎	4
監	4
客	4
臭	4
溶	4
雑	4
怠	4
往	4
鳴	4
蘇	4
犬	4
粘	4
暇	4
蝋	4
悦	4
宴	4
築	4
康	4
超	4
狼	4
停	4
琴	4
寿	4
嵐	3
判	3
喋	3
惰	3
尾	3
挙	3
嘲	3
腐	3
浴	3
掟	3
網	3
跳	3
錬	3
罹	3
誇	3
任	3
峠	3
訳	3
袋	3
模	3
純	3
緑	3
頓	3
墜	3
緩	3
堂	3
輩	3
劣	3
証	3
垂	3
努	3
脱	3
涜	3
禄	3
患	3
陳	3
刈	3
縛	3
談	3
堅	3
拘	3
陣	3
脆	3
査	3
弾	3
巣	3
陥	3
昭	3
茹	3
赤	3
范	3
副	3
浪	3
雪	3
障	3
個	3
兜	3
飾	3
喰	3
介	3
堕	3
只	3
慌	3
快	3
甲	3
咼	3
糸	3
慧	3
猿	3
充	3
躍	3
毛	3
鬱	3
誤	3
穴	3
叫	3
隅	3
論	3
較	3
疫	3
寝	3
箱	3
惜	3
叶	3
慣	3
湾	3
景	3
典	3
誉	3
妻	3
工	3
級	3
敬	3
甘	3
赴	3
戒	3
懐	3
製	3
謀	3
踵	3
滴	3
俊	3
環	3
劇	3
没	3
済	3
髪	2
虚	2
執	2
伺	2
那	2
刹	2
柄	2
述	2
亀	2
刑	2
胸	2
奏	2
棄	2
葦	2
賞	2
賛	2
隷	2
虐	2
遡	2
眷	2
牙	2
潰	2
型	2
衡	2
詫	2
舟	2
誕	2
帳	2
顎	2
簡	2
逐	2
丸	2
腰	2
昼	2
貰	2
華	2
録	2
博	2
獅	2
揮	2
壮	2
偶	2
覧	2
克	2
瘴	2
兆	2
匂	2
維	2
干	2
穿	2
象	2
冠	2
吐	2
誘	2
秤	2
蔵	2
故	2
郷	2
耕	2
是	2
輪	2
桃	2
五	2
疲	2
魅	2
鍵	2
糧	2
銀	2
瀕	2
酒	2
斐	2
痛	2
仮	2
競	2
責	2
忙	2
勲	2
禽	2
抑	2
惚	2
専	2
忌	2
睨	2
奉	2
姓	2
戴	2
掻	2
概	2
娥	2
李	2
清	2
軽	2
塔	2
蕭	2
莉	2
被	2
掲	2
蠡	2
寧	2
播	2
婉	2
八	2
資	2
卦	2
爾	2
芸	2
培	2
依	2
凄	2
俗	2
季	2
償	2
員	2
慢	2
双	2
煩	2
畏	2
鬼	2
域	2
蛮	2
容	2
緒	2
嵌	2
卑	2
喧	2
綱	2
如	2
楔	2
微	2
粗	2
歯	2
婦	2
球	2
廻	2
翌	2
頑	2
烈	2
耗	2
譲	2
狡	2
猾	2
澄	2
改	2
硬	2
屍	2
塗	2
借	2
裁	2
碑	2
礁	2
憤	2
項	2
慎	2
号	2
江	2
惹	2
胴	2
：	2
洋	2
氾	2
濫	2
陝	2
田	2
竹	2
卓	2
協	1
諍	1
霞	1
履	1
朗	1
版	1
印	1
驕	1
禁	1
慰	1
羅	1
腸	1
弦	1
眉	1
煙	1
腹	1
績	1
峙	1
戯	1
桁	1
慮	1
劫	1
啓	1
蝿	1
殻	1
躊	1
濡	1
躇	1
黙	1
喝	1
籠	1
乏	1
坊	1
蹴	1
慈	1
梁	1
照	1
昆	1
辱	1
呑	1
楯	1
禍	1
敷	1
恋	1
寓	1
公	1
育	1
鍬	1
猫	1
饉	1
旱	1
魃	1
委	1
貢	1
皮	1
紙	1
筆	1
描	1
鍋	1
扈	1
評	1
涯	1
推	1
悠	1
壷	1
稽	1
偽	1
恨	1
妬	1
嘩	1
蓋	1
釘	1
叔	1
契	1
列	1
噪	1
寂	1
憂	1
栽	1
苛	1
酸	1
炙	1
嗅	1
姦	1
佞	1
茶	1
抉	1
坡	1
荘	1
青	1
某	1
徴	1
添	1
忠	1
歴	1
錆	1
並	1
載	1
貪	1
筏	1
貯	1
章	1
凱	1
旋	1
遇	1
遍	1
香	1
絹	1
朴	1
湖	1
米	1
洛	1
跋	1
伸	1
泡	1
箍	1
拠	1
昧	1
雇	1
憚	1
雛	1
縁	1
局	1
智	1
浮	1
嘘	1
侯	1
伴	1
罰	1
馳	1
携	1
羲	1
倶	1
煌	1
衣	1
免	1
灯	1
彩	1
懇	1
科	1
銘	1
仁	1
催	1
房	1
躯	1
汉	1
语	1
한	1
국	1
어	1
妃	1
央	1
珍	1
趣	1
演	1
算	1
譜	1
邦	1
講	1
祟	1
臥	1
係	1
漕	1
沈	1
哨	1
穀	1
斥	1
候	1
咎	1
鞏	1
俐	1
握	1
焚	1
倹	1
閲	1
荊	1
軻	1
寶	1
蝕	1
宋	1
舌	1
額	1
瞱	1
姚	1
嫦	1
則	1
春	1
桜	1
珊	1
緊	1
灰	1
垢	1
班	1
穰	1
苴	1
傲	1
賈	1
誼	1
藥	1
励	1
蒙	1
恬	1
魏	1
收	1
欧	1
芳	1
伊	1
韻	1
嵇	1
秀	1
府	1
瞑	1
盲	1
穣	1
仗	1
喫	1
聴	1
踊	1
随	1
勧	1
喉	1
縦	1
狽	1
社	1
洗	1
拝	1
符	1
轟	1
麾	1
懸	1
煽	1
材	1
塞	1
貨	1
沙	1
汰	1
床	1
織	1
筈	1
殲	1
咆	1
絞	1
巡	1
胡	1
碩	1
辞	1
癖	1
艦	1
肌	1
舵	1
脇	1
裸	1
ヶ	1
慨	1
瞥	1
泊	1
麗	1
絵	1
朱	1
莫	1
丁	1
暖	1
捌	1
席	1
究	1
憶	1
靱	1
航	1
拡	1
稲	1
養	1
幻	1
逸	1
宇	1
朽	1
薄	1
騙	1
践	1
剖	1
曇	1
抽	1
布	1
植	1
採	1
油	1
茂	1
宙	1
繁	1
覇	1
饗	1
隕	1
鉤	1
献	1
械	1
藪	1
遮	1
蔽	1
観	1
囮	1
嫌	1
宜	1
撒	1
噴	1
塊	1
才	1
奮	1
衝	1
徐	1
殴	1
研	1
餓	1
凹	1
萎	1
稀	1
疾	1
鋼	1
訊	1
又	1
冬	1
殊	1
尻	1
樫	1
吠	1
液	1
著	1
渦	1
剥	1
繋	1
編	1
齢	1
鏡	1
爪	1
星	1
医	1
円	1
譚	1
隔	1
尊	1
喪	1
審	1
麻	1
痺	1
捉	1
邁	1
諾	1
眺	1
寵	1
謂	1
愉	1
排	1
昏	1
秦	1
巴	1
彬	1
県	1
曜	1
廷	1
漂	1
哮	1
痕	1
